                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4192,                 1.6674,                 1.1029,                0.70046,                 0.5895,                0.64106,                0.40358,                 1.1729,                 1.0039,                  1.019,             0.00036931,             0.00036931,             0.00036931
                      2,                 1.2838,                 1.0293,                 1.0457,                0.70386,                0.63187,                0.68966,                0.44754,                 1.1432,                0.94208,                 1.0058,             0.00073232,             0.00073232,             0.00073232
                      3,                 1.2523,                 0.9224,                 1.0339,                0.74246,                0.69397,                0.74738,                0.48121,                 1.1329,                0.84314,                 1.0095,               0.001088,               0.001088,               0.001088
                      4,                 1.2236,                0.87066,                 1.0279,                0.79543,                 0.7197,                0.78692,                0.52056,                 1.1184,                0.76102,                 1.0021,               0.001078,               0.001078,               0.001078
                      5,                 1.2038,                0.82368,                 1.0165,                0.76804,                0.75335,                0.79616,                0.52463,                 1.0996,                0.73082,                0.99013,               0.001078,               0.001078,               0.001078
                      6,                 1.1812,                0.79066,                   1.01,                0.81315,                0.72923,                0.79993,                 0.5415,                  1.084,                0.69584,                0.98566,               0.001067,               0.001067,               0.001067
                      7,                 1.1601,                0.76184,                  1.002,                0.81802,                0.76745,                  0.836,                0.56686,                 1.0546,                0.66646,                0.97636,               0.001056,               0.001056,               0.001056
                      8,                 1.1387,                 0.7365,                0.99439,                0.82999,                0.77838,                0.84219,                0.56999,                 1.0574,                0.68322,                 0.9812,               0.001045,               0.001045,               0.001045
                      9,                 1.1396,                0.73107,                0.99116,                0.83967,                0.75234,                0.83998,                0.56919,                 1.0674,                0.67564,                 0.9815,               0.001034,               0.001034,               0.001034
                     10,                 1.1231,                0.70705,                0.98593,                0.82506,                0.78523,                0.85494,                0.58828,                 1.0415,                0.63228,                0.97159,               0.001023,               0.001023,               0.001023
                     11,                 1.1131,                0.70318,                0.98189,                0.82417,                0.78581,                0.84239,                0.57372,                 1.0281,                0.64471,                0.96579,               0.001012,               0.001012,               0.001012
                     12,                 1.1035,                0.69217,                0.98087,                0.80238,                0.79449,                0.85577,                0.59184,                 1.0341,                0.65231,                0.96813,               0.001001,               0.001001,               0.001001
                     13,                 1.0954,                0.68115,                0.97598,                 0.8309,                0.77134,                0.85296,                0.58849,                 1.0399,                 0.6302,                0.97477,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.0812,                0.66765,                0.97101,                0.86144,                0.80025,                0.86604,                0.60327,                 1.0093,                0.60467,                  0.959,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.0838,                0.66067,                0.97086,                0.82903,                0.78911,                0.86763,                0.61103,                 1.0127,                  0.603,                 0.9599,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.0671,                0.65448,                0.96668,                0.84246,                0.80715,                0.87104,                0.61324,                 1.0047,                0.59674,                0.95785,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.0584,                0.64189,                0.96394,                0.84817,                 0.7976,                0.86857,                0.61934,                0.98818,                0.58739,                  0.946,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.0548,                0.64253,                0.96373,                0.88607,                0.82485,                0.88365,                0.62598,                 0.9985,                0.59718,                 0.9542,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.0418,                0.63488,                0.95896,                0.84657,                0.82418,                0.87912,                0.61486,                0.98539,                0.59698,                0.95064,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.0412,                0.62486,                0.95777,                0.85699,                 0.8202,                0.88525,                0.63108,                0.98208,                0.57928,                0.94482,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.0368,                0.62739,                0.95495,                0.87671,                0.81915,                 0.8847,                 0.6349,                0.96161,                0.57833,                0.94074,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.0297,                 0.6187,                 0.9557,                0.86878,                0.82621,                0.89144,                0.63546,                 0.9688,                0.56982,                0.94081,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.0207,                0.61142,                0.95039,                0.86386,                0.85443,                0.89883,                 0.6426,                0.96006,                0.56284,                0.94031,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.0174,                0.60916,                0.94979,                0.88218,                0.83186,                0.90022,                0.64828,                0.95597,                0.56023,                0.94096,             0.00086902,             0.00086902,             0.00086902
                     25,                  1.011,                0.60325,                0.94637,                0.86917,                0.83899,                0.89465,                0.64582,                 0.9622,                0.55503,                0.94028,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.0017,                0.59571,                 0.9431,                0.86761,                 0.8441,                0.89459,                0.65082,                0.94832,                0.54556,                0.93524,             0.00084703,             0.00084703,             0.00084703
                     27,                0.99803,                0.59072,                 0.9411,                0.87939,                0.85095,                0.90685,                0.65722,                0.95921,                0.54505,                0.94065,             0.00083603,             0.00083603,             0.00083603
                     28,                0.99273,                0.58322,                0.93875,                0.87377,                0.84028,                0.90116,                0.65803,                0.95083,                 0.5393,                0.93604,             0.00082503,             0.00082503,             0.00082503
                     29,                0.98582,                0.58121,                0.93936,                0.88366,                0.83162,                0.90299,                0.65651,                0.94599,                0.54092,                 0.9364,             0.00081403,             0.00081403,             0.00081403
                     30,                0.98307,                0.57921,                0.93731,                0.89069,                0.84031,                0.90477,                0.66294,                0.93169,                0.54248,                0.92773,             0.00080303,             0.00080303,             0.00080303
                     31,                0.98154,                0.57266,                0.93676,                0.88872,                0.83456,                0.89981,                  0.656,                0.92528,                0.53914,                0.92886,             0.00079203,             0.00079203,             0.00079203
                     32,                0.97392,                0.57286,                0.93569,                0.89716,                0.84612,                 0.9026,                0.66132,                0.93174,                0.53866,                0.93174,             0.00078103,             0.00078103,             0.00078103
                     33,                0.96945,                0.56893,                0.93072,                0.88244,                0.85245,                0.90918,                0.66841,                0.93285,                0.53082,                0.92795,             0.00077003,             0.00077003,             0.00077003
                     34,                0.96681,                0.56137,                0.93143,                0.89723,                0.84623,                0.91043,                0.66801,                 0.9298,                0.52986,                0.92754,             0.00075904,             0.00075904,             0.00075904
                     35,                0.96453,                0.56512,                0.92967,                0.90375,                0.83954,                 0.9129,                0.67826,                0.92505,                0.53023,                0.92795,             0.00074804,             0.00074804,             0.00074804
                     36,                0.95117,                0.55666,                0.92823,                0.88942,                0.85841,                 0.9143,                0.67256,                0.92392,                0.52623,                0.92797,             0.00073704,             0.00073704,             0.00073704
                     37,                0.95319,                0.55409,                0.92847,                0.88467,                0.86163,                0.91194,                0.67797,                0.91672,                0.52252,                0.92321,             0.00072604,             0.00072604,             0.00072604
                     38,                0.94659,                0.54862,                0.92559,                0.88726,                0.86919,                0.91243,                0.68206,                0.91018,                0.52114,                0.92143,             0.00071504,             0.00071504,             0.00071504
                     39,                0.94423,                0.54943,                 0.9262,                0.89178,                0.86059,                0.91194,                0.67796,                0.91261,                0.52466,                0.92156,             0.00070404,             0.00070404,             0.00070404
                     40,                0.93779,                0.54498,                0.92413,                0.89236,                0.86874,                 0.9174,                0.68367,                 0.9146,                0.52021,                0.92643,             0.00069304,             0.00069304,             0.00069304
                     41,                 0.9327,                0.54275,                0.92141,                0.88927,                0.87085,                0.91555,                0.68639,                0.89997,                0.51551,                0.92031,             0.00068204,             0.00068204,             0.00068204
                     42,                0.93518,                0.54318,                 0.9219,                0.89904,                0.86204,                0.91673,                0.68263,                0.90784,                0.51692,                0.92295,             0.00067104,             0.00067104,             0.00067104
                     43,                0.93042,                0.53886,                0.92094,                0.89226,                0.86013,                  0.918,                0.69057,                0.89455,                0.51021,                0.91957,             0.00066005,             0.00066005,             0.00066005
                     44,                0.91987,                0.53148,                0.91876,                  0.895,                0.87242,                0.92323,                0.69584,                0.88865,                0.49795,                0.91559,             0.00064905,             0.00064905,             0.00064905
                     45,                0.92192,                0.53131,                0.91752,                0.89504,                0.87496,                 0.9252,                0.69704,                0.89395,                0.50211,                0.91802,             0.00063805,             0.00063805,             0.00063805
                     46,                0.92036,                0.53114,                0.91541,                0.90854,                0.86465,                0.92065,                 0.6956,                0.89153,                0.50362,                0.91578,             0.00062705,             0.00062705,             0.00062705
                     47,                0.91575,                0.52528,                0.91698,                0.91101,                0.87007,                0.92383,                0.69787,                0.89817,                  0.503,                0.91964,             0.00061605,             0.00061605,             0.00061605
                     48,                0.91409,                0.52431,                0.91477,                0.90752,                0.88124,                 0.9266,                0.70075,                0.89274,                0.49882,                0.91627,             0.00060505,             0.00060505,             0.00060505
                     49,                0.90486,                0.51966,                0.91327,                0.91003,                0.87785,                0.92589,                  0.701,                0.89097,                0.50261,                0.91435,             0.00059405,             0.00059405,             0.00059405
                     50,                0.90331,                0.51682,                0.91279,                0.90866,                 0.8699,                0.92631,                0.70072,                0.88293,                0.49729,                 0.9118,             0.00058305,             0.00058305,             0.00058305
                     51,                0.89802,                0.51427,                0.91131,                0.90088,                0.87603,                0.92509,                0.70143,                0.89117,                0.50139,                0.91657,             0.00057205,             0.00057205,             0.00057205
                     52,                0.89988,                0.51138,                0.91083,                0.90129,                0.88164,                0.92757,                0.70627,                0.88572,                0.49246,                0.91463,             0.00056105,             0.00056105,             0.00056105
                     53,                0.90009,                0.51441,                 0.9114,                0.90004,                0.88973,                0.92476,                0.70722,                0.87744,                 0.4957,                0.91426,             0.00055006,             0.00055006,             0.00055006
                     54,                0.89131,                0.50965,                0.90866,                0.90595,                0.88292,                0.92661,                0.70902,                 0.8748,                0.49179,                0.91253,             0.00053906,             0.00053906,             0.00053906
                     55,                0.88396,                0.50497,                 0.9065,                0.91216,                0.87878,                0.92813,                0.71055,                 0.8741,                0.48994,                 0.9125,             0.00052806,             0.00052806,             0.00052806
                     56,                0.88404,                0.50427,                0.90832,                0.92661,                0.86947,                0.92798,                0.70994,                0.87716,                0.48687,                0.91215,             0.00051706,             0.00051706,             0.00051706
                     57,                0.88177,                0.50211,                0.90675,                0.90273,                0.86914,                0.92437,                0.70944,                0.87659,                0.49312,                0.91299,             0.00050606,             0.00050606,             0.00050606
